Date,"Potash Granular MOP bulk cfr Brazil
Low, USD/t ","Potash Granular MOP bulk cfr Brazil
High, USD/t ","Potash Granular MOP bulk cfr Brazil
Midpoint, USD/t ","Potash Granular MOP bulk cfr northwest Europe
Low, Euro/t","Potash Granular MOP bulk cfr northwest Europe
High, Euro/t","Potash Granular MOP bulk cfr northwest Europe
Mid, Euro/t","Potash Standard MOP bulk fob Vancouver
Low, USD/t","Potash Standard MOP bulk fob Vancouver
High, USD/t","Potash Standard MOP bulk fob Vancouver
Mid, USD/t","Potash Standard MOP bulk cfr southeast Asia
Low, Euro/t","Potash Standard MOP bulk cfr southeast Asia
High, Euro/t","Potash Standard MOP bulk cfr southeast Asia
Mid, Euro/t"
27 Sep 2018,340,345,342.5,275,282,278.5,246,294,270.0,290,305,297.5
04 Oct 2018,350,360,355.0,275,285,280.0,251,308,279.5,295,310,302.5
11 Oct 2018,350,360,355.0,275,285,280.0,249,303,276.0,295,310,302.5
18 Oct 2018,345,360,352.5,280,290,285.0,249,303,276.0,295,310,302.5
25 Oct 2018,345,360,352.5,280,290,285.0,254,303,278.5,300,315,307.5
01 Nov 2018,350,360,355.0,280,290,285.0,254,306,280.0,300,320,310.0
08 Nov 2018,350,360,355.0,280,290,285.0,254,306,280.0,300,320,310.0
15 Nov 2018,350,360,355.0,280,290,285.0,254,306,280.0,300,320,310.0
22 Nov 2018,350,360,355.0,280,290,285.0,257,309,283.0,300,320,310.0
29 Nov 2018,350,360,355.0,280,290,285.0,259,310,284.5,300,320,310.0
06 Dec 2018,350,355,352.5,280,290,285.0,260,306,283.0,300,320,310.0
13 Dec 2018,350,355,352.5,280,290,285.0,260,305,282.5,300,320,310.0
20 Dec 2018,350,355,352.5,280,290,285.0,260,305,282.5,300,320,310.0
03 Jan 2019,350,355,352.5,280,290,285.0,260,305,282.5,300,320,310.0
10 Jan 2019,350,355,352.5,280,290,285.0,263,308,285.5,300,320,310.0
17 Jan 2019,350,360,355.0,280,290,285.0,264,313,288.5,300,320,310.0
24 Jan 2019,350,360,355.0,280,290,285.0,263,315,289.0,298,315,306.5
31 Jan 2019,350,355,352.5,285,290,287.5,264,310,287.0,298,315,306.5
07 Feb 2019,350,355,352.5,285,290,287.5,266,309,287.5,298,315,306.5
14 Feb 2019,350,355,352.5,290,305,297.5,266,309,287.5,298,315,306.5
21 Feb 2019,350,355,352.5,290,305,297.5,270,307,288.5,300,315,307.5
28 Feb 2019,350,355,352.5,290,305,297.5,267,307,287.0,300,315,307.5
07 Mar 2019,345,355,350.0,290,305,297.5,264,307,285.5,300,315,307.5
14 Mar 2019,345,355,350.0,290,300,295.0,262,303,282.5,300,315,307.5
21 Mar 2019,345,355,350.0,290,300,295.0,257,303,280.0,295,315,305.0
28 Mar 2019,340,350,345.0,282,295,288.5,257,298,277.5,295,315,305.0
04 Apr 2019,340,350,345.0,285,295,290.0,257,299,278.0,295,315,305.0
11 Apr 2019,340,350,345.0,285,300,292.5,257,299,278.0,295,315,305.0
18 Apr 2019,340,350,345.0,285,300,292.5,258,300,279.0,295,315,305.0
25 Apr 2019,340,350,345.0,285,300,292.5,253,298,275.5,290,310,300.0
02 May 2019,340,350,345.0,285,300,292.5,253,298,275.5,290,310,300.0
09 May 2019,340,350,345.0,285,300,292.5,253,298,275.5,290,310,300.0
16 May 2019,340,350,345.0,280,295,287.5,254,299,276.5,290,305,297.5
23 May 2019,340,350,345.0,275,290,282.5,254,299,276.5,290,305,297.5
30 May 2019,340,350,345.0,275,290,282.5,254,299,276.5,290,310,300.0
06 Jun 2019,340,350,345.0,275,290,282.5,255,301,278.0,290,310,300.0
13 Jun 2019,340,350,345.0,275,290,282.5,255,301,278.0,290,310,300.0
20 Jun 2019,335,345,340.0,275,290,282.5,254,297,275.5,290,310,300.0
27 Jun 2019,335,340,337.5,275,290,282.5,253,291,272.0,290,310,300.0
04 Jul 2019,335,340,337.5,275,285,280.0,253,290,271.5,290,324,307.0
11 Jul 2019,335,340,337.5,275,285,280.0,253,290,271.5,290,324,307.0
18 Jul 2019,335,340,337.5,275,285,280.0,253,290,271.5,290,310,300.0
25 Jul 2019,330,340,335.0,275,285,280.0,252,289,270.5,290,310,300.0
01 Aug 2019,330,340,335.0,275,285,280.0,247,289,268.0,285,305,295.0
08 Aug 2019,325,340,332.5,275,285,280.0,248,290,269.0,285,305,295.0
15 Aug 2019,320,335,327.5,275,285,280.0,246,289,267.5,285,305,295.0
22 Aug 2019,320,330,325.0,275,285,280.0,246,289,267.5,285,305,295.0
29 Aug 2019,320,330,325.0,275,285,280.0,242,285,263.5,285,305,295.0
05 Sep 2019,310,325,317.5,275,285,280.0,242,285,263.5,285,305,295.0
12 Sep 2019,305,320,312.5,275,285,280.0,236,275,255.5,280,300,290.0
19 Sep 2019,305,320,312.5,275,285,280.0,236,269,252.5,280,300,290.0
26 Sep 2019,305,320,312.5,275,285,280.0,234,267,250.5,278,300,289.0
03 Oct 2019,295,315,305.0,275,285,280.0,234,259,246.5,278,300,289.0
10 Oct 2019,300,315,307.5,275,285,280.0,240,266,253.0,278,300,289.0
17 Oct 2019,300,315,307.5,275,285,280.0,240,266,253.0,278,300,289.0
24 Oct 2019,290,305,297.5,275,285,280.0,239,266,252.5,278,285,281.5
31 Oct 2019,290,305,297.5,270,280,275.0,240,256,248.0,278,285,281.5
07 Nov 2019,290,300,295.0,270,280,275.0,240,251,245.5,278,285,281.5
14 Nov 2019,290,300,295.0,270,280,275.0,236,249,242.5,278,285,281.5
21 Nov 2019,280,295,287.5,270,280,275.0,228,243,235.5,272,285,278.5
28 Nov 2019,280,295,287.5,270,280,275.0,228,243,235.5,272,285,278.5
05 Dec 2019,280,290,285.0,270,280,275.0,216,238,227.0,263,275,269.0
12 Dec 2019,275,285,280.0,260,275,267.5,216,233,224.5,263,275,269.0
19 Dec 2019,270,285,277.5,260,275,267.5,217,234,225.5,263,275,269.0
03 Jan 2020,265,275,270.0,260,275,267.5,214,229,221.5,263,275,269.0
09 Jan 2020,265,275,270.0,260,275,267.5,208,228,218.0,255,275,265.0
16 Jan 2020,255,265,260.0,260,275,267.5,208,235,221.5,255,275,265.0
23 Jan 2020,250,255,252.5,250,265,257.5,201,232,216.5,255,270,262.5
30 Jan 2020,249,255,252.0,250,265,257.5,203,234,218.5,250,270,260.0
06 Feb 2020,245,255,250.0,250,265,257.5,199,234,216.5,250,270,260.0
13 Feb 2020,240,245,242.5,250,255,252.5,196,232,214.0,245,260,252.5
20 Feb 2020,235,245,240.0,250,255,252.5,190,230,210.0,245,260,252.5
27 Feb 2020,235,240,237.5,250,255,252.5,193,228,210.5,240,260,250.0
05 Mar 2020,232,238,235.0,250,255,252.5,190,228,209.0,240,260,250.0
12 Mar 2020,225,233,229.0,250,255,252.5,183,231,207.0,240,260,250.0
19 Mar 2020,220,230,225.0,245,250,247.5,181,235,208.0,240,260,250.0
26 Mar 2020,220,225,222.5,245,250,247.5,182,236,209.0,240,260,250.0
02 Apr 2020,220,225,222.5,240,250,245.0,182,236,209.0,240,260,250.0
09 Apr 2020,220,225,222.5,240,250,245.0,182,236,209.0,240,260,250.0
16 Apr 2020,215,225,220.0,235,250,242.5,177,236,206.5,240,260,250.0
23 Apr 2020,210,220,215.0,235,250,242.5,174,234,204.0,232,255,243.5
30 Apr 2020,210,220,215.0,235,250,242.5,176,233,204.5,232,255,243.5
07 May 2020,215,225,220.0,235,250,242.5,181,233,207.0,232,255,243.5
14 May 2020,215,225,220.0,235,250,242.5,180,232,206.0,232,255,243.5
21 May 2020,215,225,220.0,235,250,242.5,178,230,204.0,232,255,243.5
28 May 2020,220,230,225.0,235,250,242.5,182,229,205.5,232,255,243.5
04 Jun 2020,225,230,227.5,235,250,242.5,185,217,201.0,232,245,238.5
11 Jun 2020,225,230,227.5,235,250,242.5,185,217,201.0,232,245,238.5
18 Jun 2020,225,230,227.5,235,250,242.5,184,215,199.5,230,245,237.5
25 Jun 2020,230,235,232.5,235,250,242.5,188,215,201.5,230,245,237.5
02 Jul 2020,235,240,237.5,230,245,237.5,195,216,205.5,230,245,237.5
09 Jul 2020,235,240,237.5,230,245,237.5,195,216,205.5,230,245,237.5
16 Jul 2020,235,240,237.5,230,245,237.5,193,211,202.0,230,242,236.0
23 Jul 2020,235,240,237.5,230,245,237.5,193,213,203.0,230,242,236.0
30 Jul 2020,235,240,237.5,230,245,237.5,194,214,204.0,230,242,236.0
06 Aug 2020,235,240,237.5,230,240,235.0,194,212,203.0,230,240,235.0
13 Aug 2020,235,240,237.5,230,240,235.0,195,213,204.0,230,240,235.0
20 Aug 2020,240,250,245.0,230,240,235.0,198,210,204.0,230,240,235.0
27 Aug 2020,240,255,247.5,230,240,235.0,197,212,204.5,230,240,235.0
03 Sep 2020,240,255,247.5,230,240,235.0,198,213,205.5,230,240,235.0
10 Sep 2020,240,255,247.5,230,240,235.0,199,214,206.5,230,240,235.0
17 Sep 2020,237,255,246.0,230,240,235.0,195,213,204.0,230,240,235.0
24 Sep 2020,237,255,246.0,230,240,235.0,197,215,206.0,230,240,235.0
01 Oct 2020,240,255,247.5,230,240,235.0,198,213,205.5,230,240,235.0
08 Oct 2020,245,262,253.5,230,240,235.0,201,220,210.5,230,240,235.0
15 Oct 2020,247,260,253.5,230,240,235.0,199,217,208.0,230,240,235.0
22 Oct 2020,245,255,250.0,228,240,234.0,200,215,207.5,230,245,237.5
29 Oct 2020,240,255,247.5,228,240,234.0,198,215,206.5,230,245,237.5
05 Nov 2020,240,255,247.5,228,240,234.0,198,213,205.5,230,240,235.0
12 Nov 2020,240,255,247.5,228,240,234.0,194,209,201.5,230,240,235.0
19 Nov 2020,240,255,247.5,228,240,234.0,195,210,202.5,230,240,235.0
26 Nov 2020,240,255,247.5,228,240,234.0,190,205,197.5,230,240,235.0
03 Dec 2020,240,250,245.0,228,240,234.0,190,202,196.0,230,240,235.0
10 Dec 2020,240,250,245.0,228,240,234.0,189,201,195.0,230,240,235.0
17 Dec 2020,240,250,245.0,228,240,234.0,189,201,195.0,230,240,235.0
23 Dec 2020,240,250,245.0,228,240,234.0,190,202,196.0,230,240,235.0
07 Jan 2021,240,250,245.0,228,240,234.0,188,205,196.5,235,245,240.0
14 Jan 2021,245,260,252.5,228,240,234.0,191,218,204.5,238,260,249.0
21 Jan 2021,255,265,260.0,228,240,234.0,193,215,204.0,238,260,249.0
28 Jan 2021,260,265,262.5,230,240,235.0,194,214,204.0,240,260,250.0
04 Feb 2021,275,290,282.5,230,240,235.0,193,229,211.0,240,260,250.0
11 Feb 2021,282,300,291.0,235,245,240.0,193,239,216.0,240,260,250.0
18 Feb 2021,300,305,302.5,235,245,240.0,189,240,214.5,240,260,250.0
25 Feb 2021,300,310,305.0,235,245,240.0,193,242,217.5,250,265,257.5
04 Mar 2021,300,310,305.0,235,245,240.0,189,237,213.0,250,265,257.5
11 Mar 2021,305,320,312.5,240,250,245.0,201,245,223.0,265,280,272.5
18 Mar 2021,320,335,327.5,240,250,245.0,189,250,219.5,265,280,272.5
25 Mar 2021,320,335,327.5,240,250,245.0,195,254,224.5,265,280,272.5
01 Apr 2021,335,345,340.0,240,250,245.0,195,264,229.5,265,280,272.5
08 Apr 2021,340,355,347.5,240,250,245.0,195,274,234.5,265,280,272.5
15 Apr 2021,340,355,347.5,240,255,247.5,195,274,234.5,265,285,275.0
22 Apr 2021,345,365,355.0,240,255,247.5,200,281,240.5,275,290,282.5
29 Apr 2021,355,365,360.0,240,255,247.5,193,279,236.0,275,290,282.5
06 May 2021,360,375,367.5,240,255,247.5,192,288,240.0,275,290,282.5
13 May 2021,365,380,372.5,245,255,250.0,192,293,242.5,275,290,282.5
20 May 2021,375,390,382.5,245,255,250.0,190,301,245.5,275,300,287.5
27 May 2021,385,400,392.5,245,255,250.0,189,311,250.0,275,300,287.5
03 Jun 2021,400,430,415.0,265,280,272.5,191,342,266.5,275,300,287.5
10 Jun 2021,430,450,440.0,265,280,272.5,214,361,287.5,300,310,305.0
17 Jun 2021,500,500,500.0,300,310,305.0,221,408,314.5,310,350,330.0
24 Jun 2021,500,550,525.0,300,310,305.0,221,458,339.5,310,355,332.5
01 Jul 2021,550,600,575.0,330,350,340.0,221,509,365.0,310,355,332.5
08 Jul 2021,620,670,645.0,350,400,375.0,248,576,412.0,340,370,355.0
15 Jul 2021,640,670,655.0,350,400,375.0,251,578,414.5,340,370,355.0
22 Jul 2021,650,680,665.0,350,400,375.0,339,586,462.5,430,480,455.0
29 Jul 2021,670,680,675.0,400,430,415.0,339,586,462.5,430,480,455.0
05 Aug 2021,680,690,685.0,400,430,415.0,349,596,472.5,440,480,460.0
12 Aug 2021,690,705,697.5,400,430,415.0,343,610,476.5,440,480,460.0
19 Aug 2021,685,705,695.0,400,430,415.0,379,604,491.5,480,530,505.0
26 Aug 2021,685,705,695.0,400,430,415.0,374,600,487.0,480,530,505.0
02 Sep 2021,680,730,705.0,400,430,415.0,398,628,513.0,500,550,525.0
09 Sep 2021,680,730,705.0,400,430,415.0,397,627,512.0,500,550,525.0
16 Sep 2021,730,750,740.0,460,480,470.0,397,646,521.5,500,550,525.0
23 Sep 2021,750,770,760.0,460,500,480.0,447,666,556.5,550,600,575.0
30 Sep 2021,750,780,765.0,460,500,480.0,479,679,579.0,580,600,590.0
07 Oct 2021,770,780,775.0,500,510,505.0,479,679,579.0,580,600,590.0
14 Oct 2021,770,780,775.0,500,510,505.0,475,676,575.5,580,600,590.0
21 Oct 2021,785,800,792.5,510,550,530.0,475,696,585.5,580,600,590.0
28 Oct 2021,785,800,792.5,530,550,540.0,481,700,590.5,580,600,590.0
04 Nov 2021,785,810,797.5,530,550,540.0,488,719,603.5,580,620,600.0
11 Nov 2021,785,800,792.5,530,550,540.0,504,718,611.0,580,620,600.0
18 Nov 2021,800,810,805.0,550,600,575.0,526,731,628.5,600,625,612.5
25 Nov 2021,790,810,800.0,550,600,575.0,525,731,628.0,600,625,612.5
02 Dec 2021,790,800,795.0,550,600,575.0,523,719,621.0,600,625,612.5
09 Dec 2021,790,810,800.0,575,600,587.5,520,729,624.5,600,650,625.0
16 Dec 2021,780,810,795.0,575,600,587.5,523,731,627.0,600,650,625.0
23 Dec 2021,780,810,795.0,575,600,587.5,522,731,626.5,600,650,625.0
06 Jan 2022,780,810,795.0,575,600,587.5,522,730,626.0,600,650,625.0
13 Jan 2022,770,810,790.0,575,600,587.5,519,728,623.5,600,650,625.0
20 Jan 2022,790,800,795.0,575,600,587.5,530,721,625.5,600,650,625.0
27 Jan 2022,765,790,777.5,575,600,587.5,531,711,621.0,600,650,625.0
03 Feb 2022,770,790,780.0,575,610,592.5,529,709,619.0,600,650,625.0
10 Feb 2022,770,800,785.0,575,610,592.5,513,707,610.0,600,625,612.5
17 Feb 2022,770,800,785.0,575,610,592.5,513,707,610.0,600,625,612.5
24 Feb 2022,770,800,785.0,575,610,592.5,499,689,594.0,600,625,612.5
03 Mar 2022,800,850,825.0,600,615,607.5,529,714,621.5,650,675,662.5
10 Mar 2022,950,"1,000",975.0,615,690,652.5,532,851,691.5,670,750,710.0
17 Mar 2022,"1,000","1,050","1,025.0",700,730,715.0,537,912,724.5,670,750,710.0
24 Mar 2022,"1,000","1,100","1,050.0",750,840,795.0,536,961,748.5,670,750,710.0
31 Mar 2022,"1,150","1,200","1,175.0",850,880,865.0,630,"1,074",852.0,750,900,825.0
07 Apr 2022,"1,150","1,200","1,175.0",900,"1,000",950.0,640,"1,087",863.5,750,950,850.0
14 Apr 2022,"1,150","1,200","1,175.0",900,"1,000",950.0,651,"1,100",875.5,750,950,850.0
14 Apr 2022,"1,150","1,200","1,175.0",900,"1,000",950.0,651,"1,100",875.5,750,950,850.0
07 Apr 2022,"1,150","1,200","1,175.0",900,"1,000",950.0,640,"1,087",863.5,750,950,850.0
31 Mar 2022,"1,150","1,200","1,175.0",850,880,865.0,630,"1,074",852.0,750,900,825.0
24 Mar 2022,"1,000","1,100","1,050.0",750,840,795.0,536,961,748.5,670,750,710.0
17 Mar 2022,"1,000","1,050","1,025.0",700,730,715.0,537,912,724.5,670,750,710.0
10 Mar 2022,950,"1,000",975.0,615,690,652.5,532,851,691.5,670,750,710.0
03 Mar 2022,800,850,825.0,600,615,607.5,529,714,621.5,650,675,662.5
24 Feb 2022,770,800,785.0,575,610,592.5,499,689,594.0,600,625,612.5
17 Feb 2022,770,800,785.0,575,610,592.5,513,707,610.0,600,625,612.5
10 Feb 2022,770,800,785.0,575,610,592.5,513,707,610.0,600,625,612.5
03 Feb 2022,770,790,780.0,575,610,592.5,529,709,619.0,600,650,625.0
27 Jan 2022,765,790,777.5,575,600,587.5,531,711,621.0,600,650,625.0
20 Jan 2022,790,800,795.0,575,600,587.5,530,721,625.5,600,650,625.0
13 Jan 2022,770,810,790.0,575,600,587.5,519,728,623.5,600,650,625.0
06 Jan 2022,780,810,795.0,575,600,587.5,522,730,626.0,600,650,625.0
23 Dec 2021,780,810,795.0,575,600,587.5,522,731,626.5,600,650,625.0
16 Dec 2021,780,810,795.0,575,600,587.5,523,731,627.0,600,650,625.0
09 Dec 2021,790,810,800.0,575,600,587.5,520,729,624.5,600,650,625.0
02 Dec 2021,790,800,795.0,550,600,575.0,523,719,621.0,600,625,612.5
